S.No,Store Name,Address,Pincode,City,State,Phone,Store Page URL
151,Pizza Hut - Adajan Gam LP Savani,,380050,"Umra Bridge, Adajan Gam",Gujarat,,https://restaurants.pizzahut.co.in/pizza-hut-in-gujarat-umra-bridge-adajan-gam-adajan-gam-36844/Home
152,"Pizza Hut - Akota, Vadodara","FP 2B, TP1, Ground Floor, Pushti Complex, Old Padra Road, Akota, Vadodara, Gujarat, India",390020,Vadodara,Gujarat,086554 72382,https://restaurants.pizzahut.co.in/pizza-hut-op-road-pizzerias-akota-vadodara-287989/Home
153,"Pizza Hut - Akota, Vadodara","Shop No 24, Ground Floor, Crossway Mall, Shanadevi Marg, Dandia Bazar Rd, Akota, Vadodara, Gujarat, India",390001,Vadodara,Gujarat,086558 41197,https://restaurants.pizzahut.co.in/pizza-hut-ph-akota-pizza-restaurant-akota-vadodara-167661/Home
154,"Pizza Hut - Eva Mall, Vadodara","SN TF 11, 3rd Floor, Eva Mall, Manjalpur, Near Saraswati Cplx, Vadodara, Gujarat, India",390011,Vadodara,Gujarat,089768 83072,https://restaurants.pizzahut.co.in/pizza-hut-manjalpur-pizza-restaurant-manjalpur-vadodara-22450/Home
155,"Pizza Hut - Inorbit Mall, Vadodara","Unit no kiosk 9 Inorbt Mall, Alembic Rd, Gorwa, Vadodara, Gujarat, India",390023,Vadodara,Gujarat,097277 59092,https://restaurants.pizzahut.co.in/pizza-hut-gorwa-pizza-restaurant-gorwa-vadodara-44218/Home
156,"Pizza Hut - Nilamber Triumph Mall, Vadodara","Shop No 7 & 8, Gr Flr, Nilamber Triumph, Vasna Gotri Road, Nilamber Circle, Vadodara, Gujarat, India",390007,Vadodara,Gujarat,086556 89216,https://restaurants.pizzahut.co.in/pizza-hut-nilamber-circle-pizza-restaurant-nilamber-circle-vadodara-93174/Home
157,"Pizza Hut - Racecourse, Vadodara","Shop No 31A & 31B, GF, Trivia Complex, Natubhai Circle, Racecourse, Vadodara, Gujarat, India",390007,Vadodara,Gujarat,089768 84951,https://restaurants.pizzahut.co.in/pizza-hut-ph-trivia-mall-pizzerias-racecourse-vadodara-273311/Home
158,"Pizza Hut - Sama Savli Road, Vadodara","Shop No 1, 2, 101 & 102 Lotus Aura 2, Sama Savli Road, Opposite Lilleria Party Plot, Vadodara, Gujarat, India",390024,Vadodara,Gujarat,086558 41215,https://restaurants.pizzahut.co.in/pizza-hut-ph-sama-salvi-vadodara-pizza-restaurant-sama-savli-road-vadodara-167660/Home
159,"Pizza Hut - Uma Chaar Rasta Waghodia Rd, Vadodra","No 2 Ground Floor, Gajanand Society, Uma Cross Road, Waghodia Road, Near Shrinathji Society, Vadodara, Gujarat, India",390019,Vadodara,Gujarat,081413 42164,https://restaurants.pizzahut.co.in/pizza-hut-ph-uma-charrasta-pizza-restaurant-waghodia-road-vadodara-129247/Home
160,"Pizza Hut - Sai Leela Mall, Valsad","Shop No 06 to 08, Sai Leela Mall, Sonanagar, Abrama, Valsad, Gujarat, India",396001,Valsad,Gujarat,086556 89168,https://restaurants.pizzahut.co.in/pizza-hut-pizza-hut-fcd-pizza-restaurant-sonanagar-abrama-valsad-124673/Home
161,"Pizza Hut - Galaxy, Vapi","Hotel Fortune Galaxy, GIDC, NH 8, Vapi, Gujarat, India",396195,Vapi,Gujarat,1800 202 2022,https://restaurants.pizzahut.co.in/pizza-hut-nh-8-pizza-restaurant-nh-8-vapi-1159/Home
162,"Pizza Hut - Cantt, Ambala","S No 9 & 180/1 to 3, Minerva Cinema Cplx, Rai Market Road, Ambala Cantt, Opposite Indira Park, Ambala, Haryana, India",133001,Ambala,Haryana,089292 42081,https://restaurants.pizzahut.co.in/pizza-hut-ph-rai-market-ambala-cantt-pizza-restaurant-ambala-cantt-ambala-130401/Home
163,"Pizza Hut - Sector 10, Ambala","Shop No 5, 9 & 23, Vatika City Central, Dividing Road, Sector 10, Ambala, Haryana, India",134003,Ambala,Haryana,078350 47266,https://restaurants.pizzahut.co.in/pizza-hut-sector-10-ambala-in-haryana-ambala-sector-10-83910/Home
